model,stripped_accuracy,stripped_precision,stripped_recall,stripped_f1,original_accuracy,accuracy_drop
TF-IDF + Logistic Regression,0.9805037957211871,0.9785932721712538,0.9782193351165457,0.9784062679151538,0.9860248447204968,0.005521048999309719
DistilBERT,0.7282608695652174,0.6242843511450382,1.0,0.7686885005140256,0.9998274672187716,0.2715665976535542
RoBERTa,0.4577294685990338,0.45432441820076414,0.9996178830722201,0.6247164179104477,0.998792270531401,0.5410628019323671
