model,test_accuracy,test_precision,test_recall,test_f1,train_time_sec,inference_time_sec
TF-IDF + Logistic Regression,0.6240506329113924,0.5887096774193549,0.4281524926686217,0.49575551782682514,0.34389805793762207,0.02987217903137207
DistilBERT,0.6886075949367089,0.631578947368421,0.6686217008797654,0.6495726495726496,170.48600339889526,0.9264304637908936
RoBERTa,0.6075949367088608,0.5514950166112956,0.4868035190615836,0.5171339563862928,300.9420518875122,1.6287429332733154
